WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	3/12/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		940	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	4/16/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		690	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	5/14/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		780	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	6/12/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		1200	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	7/16/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		980	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	9/17/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		890	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	10/16/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		720	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	11/14/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		890	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	12/18/2013 12:00:00 AM	0	m	TN_ugl	Nitrogen		1830	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	1/15/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		870	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	2/11/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		730	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	3/26/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		920	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	4/15/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		600	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	6/24/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		530	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	7/29/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		710	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	8/5/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		810	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	9/23/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		1080	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	10/15/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		1020	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	11/20/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		850	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	12/11/2014 12:00:00 AM	0	m	TN_ugl	Nitrogen		990	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	1/13/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		770	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	2/11/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		850	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	3/24/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		740	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	4/14/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		860	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	5/27/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		690	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	6/16/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		1060	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	7/15/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		930	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	8/18/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		1090	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	9/16/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		1100	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	10/27/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		990	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	11/17/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		1260	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC1"	 BC1	="BC1"	27.41800000	-82.56900000	1896	12/9/2015 12:00:00 AM	0	m	TN_ugl	Nitrogen		950	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/27/1995 12:00:00 AM		m	TN_ugl	Nitrogen		1095	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	12/12/1995 12:00:00 AM		m	TN_ugl	Nitrogen		942	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	1/24/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1374	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/13/1996 12:00:00 AM		m	TN_ugl	Nitrogen		403	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/12/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1367	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	4/11/1996 12:00:00 AM		m	TN_ugl	Nitrogen		868	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/13/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1098	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/17/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1114	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	7/8/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1387	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/5/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1587	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	9/3/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1652	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	10/9/1996 12:00:00 AM		m	TN_ugl	Nitrogen		1937	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/17/1997 12:00:00 AM		m	TN_ugl	Nitrogen		1272	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	4/7/1997 12:00:00 AM		m	TN_ugl	Nitrogen		1145	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/3/1997 12:00:00 AM		m	TN_ugl	Nitrogen		1151	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	1/21/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1569	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/17/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1749	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/31/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1687	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	4/20/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1566	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/4/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1447	ug/l	""	Water Institute Calculated		
